timestamp,lat,lng,altitude,speed,vs,heading,squawk
1647839796.242,25.09924,102.91611,7850,174,1792,214,0
1647839802.802,25.09502,102.91204,8100,178,2624,218,0
1647839808.212,25.09154,102.90868,8300,179,2048,222,2101
1647839813.632,25.08835,102.90505,8400,183,1024,227,2101
1647839818.059,25.08592,102.90196,8450,189,1152,229,0
1647839819.054,25.08537,102.90127,8500,190,1344,229,2101
1647839821.235,25.08426,102.89983,8550,191,960,229,2101
1647839822.942,25.08339,102.89871,8575,192,1600,229,2101
1647839824.664,25.08197,102.89688,8600,197,1088,229,2101
1647839826.029,25.08147,102.89627,8625,198,896,229,2101
1647839828.665,25.07982,102.89404,8650,200,640,230,2101
1647839830.248,25.07858,102.89246,8675,204,640,230,2101
1647839831.420,25.07918,102.89323,8700,203,704,230,2101
1647839834.531,25.0762,102.88934,8750,209,1024,230,2101
1647839835.493,25.07533,102.88818,8775,210,1088,230,2101
1647839837.375,25.07433,102.88686,8825,203,704,230,2101
1647839839.746,25.07318,102.88535,8875,211,1984,230,2101
1647839841.137,25.07176,102.88351,8925,215,1344,230,2101
1647839843.219,25.07071,102.88213,8950,216,1088,230,2101
1647839845.418,25.06915,102.88004,8975,221,704,230,2101
1647839846.579,25.0681,102.87862,8975,222,704,230,2101
1647839848.670,25.0674,102.87774,9000,225,704,230,2101
1647839850.756,25.06535,102.87501,9050,230,896,230,2101
1647839851.663,25.0647,102.87406,9075,230,896,230,2101
1647839854.090,25.0643,102.87354,9100,233,1344,230,2101
1647839857.073,25.06151,102.86982,9175,235,1344,230,2101
1647839857.333,25.06064,102.86865,9200,237,1216,230,2101
1647839859.494,25.05968,102.86732,9225,238,1280,230,2101
1647839861.852,25.0578,102.86484,9275,242,1216,230,2101
1647839862.935,25.05679,102.86349,9300,245,1152,231,2101
1647839864.802,25.05606,102.8625,9300,242,1216,230,2101
1647839867.207,25.05386,102.8595,9350,251,960,231,2101
1647839868.845,25.05297,102.85831,9400,254,1088,230,2101
1647839869.511,25.05237,102.85748,9400,254,1088,230,2101
1647839873.209,25.04974,102.85406,9525,256,2112,230,2101
1647839875.311,25.04851,102.85248,9650,256,3200,229,2101
1647839878.047,25.04557,102.84877,9825,254,3840,228,2101
1647839879.443,25.04448,102.84739,9925,254,3840,228,2101
1647839880.646,25.0442,102.84704,9950,254,3840,228,2101
1647839883.351,25.04161,102.84369,10150,252,3904,229,2101
1647839885.144,25.03984,102.84131,10275,251,3904,230,2101
1647839885.486,25.04161,102.84369,10275,251,3904,229,2101
1647839888.627,25.0378,102.83856,10475,249,4032,231,2101
1647839890.365,25.03624,102.83636,10625,247,4032,231,2101
1647839891.904,25.03551,102.8354,10675,247,4032,231,2101
1647839892.987,25.0345,102.83401,10750,247,4032,231,2101
1647839893.983,25.03379,102.83307,10800,246,3968,231,2101
