time,,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 06:19:10Z.960,1647843550.960,0x780db8,CES5735,23.38293,110.64241,P,29100,2101,457,100,0
2022-03-21 06:19:16Z.570,1647843556.570,0x780db8,CES5735,23.38095,110.6546,P,29100,2101,457,100,0
2022-03-21 06:19:26Z.908,1647843566.908,0x780db8,CES5735,23.37723,110.67724,P,29100,2101,457,100,64
2022-03-21 06:19:32Z.020,1647843572.020,0x780db8,CES5735,23.37524,110.6894,P,29100,2101,457,100,64
2022-03-21 06:19:37Z.038,1647843577.038,0x780db8,CES5735,23.37337,110.70074,P,29100,2101,457,100,0
2022-03-21 06:19:37Z.695,1647843577.695,0x780db8,,0,0,N,29100,2101,457,100,0
2022-03-21 06:19:41Z.680,1647843581.680,0x780db8,,0,0,N,29100,2101,458,100,0
2022-03-21 06:19:44Z.261,1647843584.261,0x780db8,,0,0,N,29100,2101,457,100,0
2022-03-21 06:19:46Z.999,1647843586.999,0x780db8,,0,0,N,29100,2101,458,100,0
2022-03-21 06:19:47Z.156,1647843587.156,0x780db8,CES5735,23.36948,110.72466,P,29100,2101,457,100,-64
2022-03-21 06:19:50Z.666,1647843590.666,0x780db8,CES5735,23.36829,110.7319,P,29100,2101,457,100,0
2022-03-21 06:19:52Z.580,1647843592.580,0x780db8,CES5735,23.36769,110.73554,P,29100,2101,457,100,0
2022-03-21 06:19:53Z.572,1647843593.572,0x780db8,CES5735,23.36732,110.73782,P,29100,2101,458,100,0
2022-03-21 06:19:56Z.386,1647843596.386,0x780db8,CES5735,23.36618,110.74458,P,29100,2101,457,100,0
2022-03-21 06:19:57Z.120,1647843597.120,0x780db8,CES5735,23.36583,110.74682,P,29100,2101,457,100,0
2022-03-21 06:19:59Z.386,1647843599.386,0x780db8,CES5735,23.36508,110.75134,P,29100,2101,457,100,0
2022-03-21 06:20:05Z.490,1647843605.490,0x780db8,CES5735,0,0,N,29100,2101,457,100,0
2022-03-21 06:20:07Z.620,1647843607.620,0x780db8,CES5735,23.36182,110.77128,P,29100,2101,457,100,0
2022-03-21 06:20:12Z.932,1647843612.932,0x780db8,CES5735,23.35987,110.78303,P,29100,2101,457,100,0
2022-03-21 06:20:18Z.822,1647843618.822,0x780db8,CES5735,23.35791,110.79478,P,29100,2101,457,100,0
2022-03-21 06:20:23Z.936,1647843623.936,0x780db8,CES5735,23.35593,110.80695,P,29100,2101,457,100,0
2022-03-21 06:20:25Z.666,1647843625.666,0x780db8,CES5735,0,0,N,29100,2101,457,100,0
2022-03-21 06:20:33Z.596,1647843633.596,0x780db8,CES5735,23.35236,110.82868,P,29100,2101,457,100,0
2022-03-21 06:20:38Z.772,1647843638.772,0x780db8,CES5735,23.35043,110.84042,P,29100,2101,457,100,0
2022-03-21 06:20:43Z.714,1647843643.714,0x780db8,CES5735,23.34874,110.85083,P,29100,2101,457,100,0
2022-03-21 06:20:59Z.832,1647843659.832,0x780db8,CES5735,23.35812,110.88536,P,27025,2101,433,98,-21696
